disorganized	неорганизованный
devious	нечестный
impressionable	впечатлительный
circumspect	бдительный
impassive	бесстрастный
effeminate	слабый
unfathomable	непостижимый
fickle	непостоянный
unprincipled	беспринципный
inoffensive	безобидный
providential	удачный
resentful	обидчивый
impractical	непрактичный
sarcastic	саркастический
misguided	неправильный
imitative	подражать
pedantic	педантичный
venomous	злой
erratic	непредсказуемый
insecure	неуверенный
resourceful	сообразительный
neurotic	нервный
forgiving	великодушный
profligate	расточительный
whimsical	капризный
assertive	настойчивый
incorruptible	неподкупный
individualistic	эгоистичный
faithless	предательский
barbaric	варварский
vindictive	мстительный
observant	внимательный
dissolute	развратный
frightening	пугающий
complacent	самодовольный
boisterous	неистовый
disobedient	непослушный
tasteless	пошлый
sedentary	сидячий
sophisticated	утонченный
mellow	мягкий
deceitful	лживый
sociable	общительный
willful	упрямый
idealistic	идеалист
boyish	мальчишеский
callous	бессердечный
pompous	высокопарный
unchanging	неизменный
crafty	коварный
punctual	своевременный
intolerant	раздражительный
challenging	смелый
scornful	презрительный
possessive	властный
conceited	самолюбивый
imprudent	неосторожный
dutiful	послушный
lovable	привлекательный
disloyal	неверный
dreamy	мечтательный
appreciative	признательный
forgetful	забывчивый
unrestrained	невоспитанный
forceful	убедительный
submissive	покорный
predatory	хищный
fanatical	фанатичный
illogical	противоречивый
tidy	аккуратный
aspiring	стремиться
studious	старательный
adaptable	гибкий
conciliatory	примирительный
artful	ловкий
thoughtless	беспечный
deceptive	лжец
frugal	экономный
reflective	мыслящий
insulting	оскорбительный
unreliable	ненадежный
stoic	мужественный
hysterical	истеричный
rustic	простоватый
inhibited	замкнутый
outspoken	откровенный
unhealthy	нездоровый
skeptical	скептический
painstaking	кропотливый
contemplative	созерцать
leisurely	неторопливый
sly	хитрый
mannered	вычурный
outrageous	жестокий
lyrical	лирический
placid	безмятежный
cynical	циничный
irresponsible	безответственный
vulnerable	уязвимый
arrogant	высокомерный
steadfast	непреклонный
crisp	хрупкий
envious	завистливый
naive	наивный
greedy	жадный
presumptuous	самонадеянный
obnoxious	неприятный
discreet	сдержанный
sporting	спортивный
hateful	ненавистный
ungrateful	неблагодарный
frivolous	легкомысленный
reactionary	резкий
skillful	искусный
cowardly	трусливый
sordid	противный
adventurous	рискованный
dogmatic	догматик
intuitive	интуитивный
bland	банальный
indulgent	снисходительный
discontented	недовольный
articulate	красноречивый
discouraging	унылый
treacherous	предатель
repressed	скованный
moody	угрюмый
sensual	чувственный
unfriendly	недружелюбный
optimistic	оптимистичный
clumsy	неуклюжий
contemptible	презренный
focused	собранный
haughty	заносчивый
morbid	болезненный
disorderly	беспорядочный
humorous	юмористический
preoccupied	озабоченный
impersonal	беспристрастный
cultured	образованный
trusting	доверчивый
respectful	почтительный
scrupulous	тщательный
scholarly	ученый
superstitious	суеверный
tolerant	терпимый
realistic	реалистический
malicious	злобный
irrational	нерациональный
sane	разумный
colorless	неприметный
masculine	мужской
witty	остроумный
inert	инертный
prejudiced	предвзятый
fraudulent	жулик
blunt	тупой
childish	ребяческий
disciplined	дисциплинированный
responsive	чуткий
bewildered	озадаченно
courteous	учтивый
aloof	неприветливый
sentimental	сентиментальный
extravagant	неумеренный
brutal	зверский
cooperative	приветливый
unstable	неустойчивый
youthful	юношеский
timid	робкий
amiable	любезный
retiring	застенчивый
confidential	надежный
relaxed	спокойный
imaginative	творческий
mystical	мистический
shrewd	проницательный
conscientious	добросовестный
monstrous	чудовищный
grim	мрачный
lazy	ленивый
dynamic	активный
gloomy	хмурый
troublesome	проблема
abrupt	грубый
dignified	благородный
hearty	сердечный
benevolent	благожелательный
maternal	материнский
paternal	отеческий
patriotic	патриотический
aggressive	агрессивный
competitive	соревноваться
elegant	элегантный
gracious	милостивый
energetic	энергичный
tough	жесткий
cautious	осторожный
polished	изысканный
sage	мудрый
tense	напряженный
caring	заботливый
suspicious	подозрительный
sober	трезвый
disturbing	тревожный
passionate	страстный
crazy	псих
fearful	испуганный
daring	отважный
prudent	предусмотрительный
demanding	требовательный
impatient	нетерпеливый
cerebral	рассудительный
calculating	расчетливый
amusing	забавный
honorable	почтенный
casual	обычный
sharing	щедрый
ruined	испортить
spontaneous	спонтанный
admirable	замечательный
conventional	общепринятый
cheerful	веселый
solitary	уединенный
upright	честный
enthusiastic	восторженный
petty	ничтожный
dirty	грязный
subjective	субъективный
heroic	героический
stupid	дурной
modest	скромный
impressive	впечатляющий
orderly	опрятный
ambitious	честолюбивый
protective	покровительственно
silly	глупый
destructive	разрушительный
exciting	увлекательный
crude	примитивный
ridiculous	чудаковатый
mature	зрелый
passive	пассивный
oppressed	угнетенный
accessible	доступный
charming	обаятельный
clever	умный
decent	порядочный
miserable	несчастный
superficial	поверхностный
stern	суровый
emotional	эмоциональный
rigid	косный
invisible	незаметный
desperate	отчаянный
romantic	романтик
agreeable	приятный
hurried	поспешный
sympathetic	симпатичный
solemn	торжественный
systematic	систематический
vague	непонятный
peaceful	мирный
humble	смиренный
expedient	целесообразный
loyal	лояльный
decisive	решительный
arbitrary	произвольный
earnest	серьезность
confident	уверенный
conservative	консервативный
moderate	умеренный
helpful	полезный
delicate	деликатный
gentle	нежный
dedicated	преданный
hostile	враждебный
precise	точный
healthy	здоровый
artificial	искусственный
progressive	прогресс
odd	странный
confused	смущенный
rational	рациональный
brilliant	гениальный
intense	пылкий
genuine	подлинный
mistaken	ошибочный
driving	движущий
stable	прочный
objective	объективный
sensitive	чувствительный
neutral	нейтральный
strict	строгий
profound	глубокомысленный
ignorant	невежественный
logical	логичный
extraordinary	необычный
experimental	любознательный
formal	формальный
curious	любопытный
busy	занятый
liberal	либеральный
friendly	дружелюбный
efficient	эффективный
sweet	милый
surprising	удивительный
mechanical	механический
clean	чистый
critical	критический
criminal	преступный
proud	гордый
quiet	тихий
solid	твердый
complex	сложный
grand	величественный
warm	теплый
slow	медленный
false	ложный
extreme	крайний
narrow	ограниченный
dependent	зависимый
organized	организованный
directed	целенаправленный
obvious	очевидный
popular	популярный
capable	способный
secure	безопасный
independent	независимый
practical	практичный
serious	серьезный
fair	справедливый
constant	статичный
responsible	ответственный
religious	религиозный
simple	простой
physical	физический
original	оригинальный
working	работящий
strong	сильный
modern	современный
determined	определенный
open	открытый
political	политический
difficult	трудный
knowledge	знание
kind	добрый
