alluring	соблазнительный_ADJ
voluptuous	возбуждать_VERB
blushing	застенчивый_ADJ
homely	некрасивый_ADJ
plump	пухлый_ADJ
sensual	чувственный_ADJ
gorgeous	замечательный_ADJ
slim	стройный_ADJ
bald	лысый_ADJ
athletic	атлетический_ADJ
fashionable	модный_ADJ
stout	подтянутый_ADJ
ugly	уродливый_ADJ
muscular	жилистый_ADJ
slender	тонкий_ADJ
feeble	немощный_ADJ
healthy	здоровый_ADJ
attractive	привлекательный_ADJ
fat	толстый_ADJ
weak	слабый_ADJ
pretty	хорошенький_ADJ
beautiful	красивый_ADJ
strong	сильный_ADJ
