disorganized	неорганизованный_ADJ
devious	нечестный_ADJ
impressionable	впечатлительный_ADJ
circumspect	бдительный_ADJ
impassive	бесстрастный_ADJ
effeminate	слабый_ADJ
unfathomable	непостижимый_ADJ
fickle	непостоянный_ADJ
unprincipled	беспринципный_ADJ
inoffensive	безобидный_ADJ
providential	удачный_ADJ
resentful	обидчивый_ADJ
impractical	непрактичный_ADJ
sarcastic	саркастический_ADJ
misguided	неправильный_ADJ
imitative	подражать_VERB
pedantic	педантичный_ADJ
venomous	злой_ADJ
erratic	непредсказуемый_ADJ
insecure	неуверенный_ADJ
resourceful	сообразительный_ADJ
neurotic	нервный_ADJ
forgiving	великодушный_ADJ
profligate	расточительный_ADJ
whimsical	капризный_ADJ
assertive	настойчивый_ADJ
incorruptible	неподкупный_ADJ
individualistic	эгоистичный_ADJ
faithless	предательский_ADJ
barbaric	варварский_ADJ
vindictive	мстительный_ADJ
observant	внимательный_ADJ
dissolute	развратный_ADJ
frightening	пугать_VERB
complacent	самодовольный_ADJ
boisterous	неистовый_ADJ
disobedient	непослушный_ADJ
tasteless	пошлый_ADJ
sedentary	сидячий_ADJ
sophisticated	утонченный_ADJ
mellow	мягкий_ADJ
deceitful	лживый_ADJ
sociable	общительный_ADJ
willful	упрямый_ADJ
idealistic	идеалист_NOUN
boyish	мальчишеский_ADJ
callous	бессердечный_ADJ
pompous	высокопарный_ADJ
unchanging	неизменный_ADJ
crafty	коварный_ADJ
punctual	своевременный_ADJ
intolerant	раздражительный_ADJ
challenging	смелый_ADJ
scornful	презрительный_ADJ
possessive	властный_ADJ
conceited	самолюбивый_ADJ
imprudent	неосторожный_ADJ
dutiful	послушный_ADJ
lovable	привлекательный_ADJ
disloyal	неверный_ADJ
dreamy	мечтательный_ADJ
appreciative	признательный_ADJ
forgetful	забывчивый_ADJ
unrestrained	невоспитанный_ADJ
forceful	убедительный_ADJ
submissive	покорный_ADJ
predatory	хищный_ADJ
fanatical	фанатичный_ADJ
illogical	противоречивый_ADJ
tidy	аккуратный_ADJ
aspiring	стремиться_VERB
studious	старательный_ADJ
adaptable	гибкий_ADJ
conciliatory	примирительный_ADJ
artful	ловкий_ADJ
thoughtless	беспечный_ADJ
deceptive	лжец_NOUN
frugal	экономный_ADJ
reflective	мыслящий_ADJ
insulting	оскорбительный_ADJ
unreliable	ненадежный_ADJ
stoic	мужественный_ADJ
hysterical	истеричный_ADJ
rustic	простоватый_ADJ
inhibited	замкнутый_ADJ
outspoken	откровенный_ADJ
unhealthy	нездоровый_ADJ
skeptical	скептический_ADJ
painstaking	кропотливый_ADJ
contemplative	созерцать_VERB
leisurely	неторопливый_ADJ
sly	хитрый_ADJ
mannered	вычурный_ADJ
outrageous	жестокий_ADJ
lyrical	лирический_ADJ
placid	безмятежный_ADJ
cynical	циничный_ADJ
irresponsible	безответственный_ADJ
vulnerable	уязвимый_ADJ
arrogant	высокомерный_ADJ
steadfast	непреклонный_ADJ
crisp	хрупкий_ADJ
envious	завистливый_ADJ
naive	наивный_ADJ
greedy	жадный_ADJ
presumptuous	самонадеянный_ADJ
obnoxious	неприятный_ADJ
discreet	сдержанный_ADJ
sporting	спортивный_ADJ
hateful	ненавистный_ADJ
ungrateful	неблагодарный_ADJ
frivolous	легкомысленный_ADJ
reactionary	резкий_ADJ
skillful	искусный_ADJ
cowardly	трусливый_ADJ
sordid	противный_ADJ
adventurous	рискованный_ADJ
dogmatic	догматик_NOUN
intuitive	интуитивный_ADJ
bland	банальный_ADJ
indulgent	снисходительный_ADJ
discontented	недовольный_ADJ
articulate	красноречивый_ADJ
discouraging	унылый_ADJ
treacherous	предатель_NOUN
repressed	скованный_ADJ
moody	угрюмый_ADJ
sensual	чувственный_ADJ
unfriendly	недружелюбный_ADJ
optimistic	оптимистичный_ADJ
clumsy	неуклюжий_ADJ
contemptible	презренный_ADJ
focused	собранный_ADJ
haughty	заносчивый_ADJ
morbid	болезненный_ADJ
disorderly	беспорядочный_ADJ
humorous	юмористический_ADJ
preoccupied	озабоченный_ADJ
impersonal	беспристрастный_ADJ
cultured	образованный_ADJ
trusting	доверчивый_ADJ
respectful	почтительный_ADJ
scrupulous	тщательный_ADJ
scholarly	ученый_NOUN
superstitious	суеверный_ADJ
tolerant	терпимый_ADJ
realistic	реалистический_ADJ
malicious	злобный_ADJ
irrational	нерациональный_ADJ
sane	разумный_ADJ
colorless	неприметный_ADJ
masculine	мужской_ADJ
witty	остроумный_ADJ
inert	инертный_ADJ
prejudiced	предвзятый_ADJ
fraudulent	жулик_NOUN
blunt	тупой_ADJ
childish	ребяческий_ADJ
disciplined	дисциплинированный_ADJ
responsive	чуткий_ADJ
bewildered	озадаченно_ADV
courteous	учтивый_ADJ
aloof	неприветливый_ADJ
sentimental	сентиментальный_ADJ
extravagant	неумеренный_ADJ
brutal	зверский_ADJ
cooperative	приветливый_ADJ
unstable	неустойчивый_ADJ
youthful	юношеский_ADJ
timid	робкий_ADJ
amiable	любезный_ADJ
retiring	застенчивый_ADJ
confidential	надежный_ADJ
relaxed	спокойный_ADJ
imaginative	творческий_ADJ
mystical	мистический_ADJ
shrewd	проницательный_ADJ
conscientious	добросовестный_ADJ
monstrous	чудовищный_ADJ
grim	мрачный_ADJ
lazy	ленивый_ADJ
dynamic	активный_ADJ
gloomy	хмурый_ADJ
troublesome	проблема_NOUN
abrupt	грубый_ADJ
dignified	благородный_ADJ
hearty	сердечный_ADJ
benevolent	благожелательный_ADJ
maternal	материнский_ADJ
paternal	отеческий_ADJ
patriotic	патриотический_ADJ
aggressive	агрессивный_ADJ
competitive	соревноваться_VERB
elegant	элегантный_ADJ
gracious	милостивый_ADJ
energetic	энергичный_ADJ
tough	жесткий_ADJ
cautious	осторожный_ADJ
